Fleet No,Operational Status,LFB,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
CH832,ACTIVE,LFB,Mitsubishi,Outlander ,Car,M1,2019,5
CH833,ACTIVE,LFB,Mitsubishi,Outlander ,Car,M1,2019,5
CSU1,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2006,12
CSU2,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2006,12
CSU3,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU4,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU5,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU6,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU7,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU8,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU9,RESERVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CTU1,TRAINING,LFB,Vauxhall,Vivaro SWB,Panel Van,N1,2006,7
DIM101,ACTIVE,LFB,Iveco,Daily,Detection Identification and Monitoring,N2,2009,10
DPL1101,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2002,12
DPL1209,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2006,12
DPL1210,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2006,12
DPL1212,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1213,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1214,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1215,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1217,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1218LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1220,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1222,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1223LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1225LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1226LG,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1229,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1230,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1231LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1233,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1236,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1240,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1242,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1243LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1246,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1248LG,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1249,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1250,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1251,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1253,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1254,FLOAT,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1255,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1258LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1260LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1261LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1262LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1263,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1264LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1266LG,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1267LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1268LG,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1269LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1270,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1272LG,PENDING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1273,PENDING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1275LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1276LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1277LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1278,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1279LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1280LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1281LG,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1283LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1284LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1285LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1286LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1288LG,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1290LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1291LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1293LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1294,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1295LG,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1296LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1298LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1299LG,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1300LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1301LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1302LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1303LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1305LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1306LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1307LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1308LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL150,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2016,12
DPL151,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL152,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL153,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL154,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL155,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL156,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL157,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL158,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL159,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL160,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL161,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL162,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL163,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL164,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL165,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL166,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL167,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
